MillisSinceEpoch,TempoVideo,AnimacaoAtual,ValorMapeado,Valor,FrameNumber
1755011655047,41.67,0,0.000,0.0,1
1755011655057,83.33,0,0.000,0.0,2
1755011655075,125.00,0,0.000,0.0,3
1755011655090,166.67,0,0.000,0.0,4
1755011655124,208.33,0,0.000,0.0,5
1755011655158,250.00,0,0.000,0.0,6
1755011655208,291.67,0,0.000,0.0,7
1755011655241,333.33,0,0.000,0.0,8
1755011655291,375.00,0,0.000,0.0,9
1755011655325,416.67,0,0.000,0.0,10
1755011655374,458.33,0,0.000,0.0,11
1755011655408,500.00,0,0.000,0.0,12
1755011655457,541.67,0,0.000,0.0,13
1755011655493,583.33,0,0.000,0.0,14
1755011655539,625.00,0,0.000,0.0,15
1755011655574,666.67,0,0.000,0.0,16
1755011655622,708.33,0,0.000,0.0,17
1755011655655,750.00,0,0.000,0.0,18
1755011655707,791.67,0,0.000,0.0,19
1755011655741,833.33,0,0.000,0.0,20
1755011655791,875.00,0,0.000,0.0,21
1755011655824,916.67,0,0.000,0.0,22
1755011655874,958.33,0,0.000,0.0,23
1755011655906,1000.00,0,0.000,0.0,24
1755011655957,1041.67,0,0.000,0.0,25
1755011655991,1083.33,0,0.000,0.0,26
1755011656042,1125.00,0,0.000,0.0,27
1755011656075,1166.67,0,0.000,0.0,28
1755011656125,1208.33,0,0.000,0.0,29
1755011656159,1250.00,0,0.000,0.0,30
1755011656208,1291.67,0,0.000,0.0,31
1755011656241,1333.33,0,0.000,0.0,32
1755011656292,1375.00,0,0.000,0.0,33
1755011656325,1416.67,0,0.000,0.0,34
1755011656376,1458.33,0,0.000,0.0,35
1755011656408,1500.00,0,0.000,0.0,36
1755011656459,1541.67,0,0.000,0.0,37
1755011656492,1583.33,0,0.000,0.0,38
1755011656541,1625.00,0,0.000,0.0,39
1755011656574,1666.67,0,0.000,0.0,40
1755011656625,1708.33,0,0.000,0.0,41
1755011656658,1750.00,0,0.000,0.0,42
1755011656708,1791.67,0,0.000,0.0,43
1755011656741,1833.33,0,0.000,0.0,44
1755011656791,1875.00,0,0.000,0.0,45
1755011656825,1916.67,0,0.000,0.0,46
1755011656873,1958.33,0,0.000,0.0,47
1755011656908,2000.00,0,0.000,0.0,48
1755011656957,2041.67,0,0.000,0.0,49
1755011656991,2083.33,0,0.000,0.0,50
1755011657041,2125.00,0,0.000,0.0,51
1755011657074,2166.67,0,0.000,0.0,52
1755011657124,2208.33,0,0.000,0.0,53
1755011657158,2250.00,0,0.000,0.0,54
1755011657208,2291.67,0,0.000,0.0,55
1755011657241,2333.33,0,0.000,0.0,56
1755011657291,2375.00,0,0.000,0.0,57
1755011657324,2416.67,0,0.000,0.0,58
1755011657375,2458.33,0,0.000,0.0,59
1755011657409,2500.00,0,0.000,0.0,60
1755011657458,2541.67,0,0.000,0.0,61
1755011657492,2583.33,0,0.000,0.0,62
1755011657541,2625.00,0,0.000,0.0,63
1755011657574,2666.67,0,0.000,0.0,64
1755011657625,2708.33,0,0.000,0.0,65
1755011657658,2750.00,0,0.000,0.0,66
1755011657707,2791.67,0,0.000,0.0,67
1755011657742,2833.33,0,0.000,0.0,68
1755011657791,2875.00,0,0.000,0.0,69
1755011657824,2916.67,0,0.000,0.0,70
1755011657875,2958.33,0,0.000,0.0,71
1755011657908,3000.00,0,0.000,0.0,72
1755011657957,3041.67,0,0.000,0.0,73
1755011657992,3083.33,0,0.000,0.0,74
1755011658041,3125.00,0,0.000,0.0,75
1755011658075,3166.67,0,0.000,0.0,76
1755011658125,3208.33,0,0.000,0.0,77
1755011658158,3250.00,0,0.000,0.0,78
1755011658207,3291.67,0,0.000,0.0,79
1755011658241,3333.33,0,0.000,0.0,80
1755011658291,3375.00,0,0.000,0.0,81
1755011658324,3416.67,0,0.000,0.0,82
1755011658375,3458.33,0,0.000,0.0,83
1755011658408,3500.00,0,0.000,0.0,84
1755011658455,3541.67,0,0.000,0.0,85
1755011658491,3583.33,0,0.000,0.0,86
1755011658541,3625.00,0,0.000,0.0,87
1755011658574,3666.67,0,0.000,0.0,88
1755011658625,3708.33,0,0.000,0.0,89
1755011658657,3750.00,0,0.000,0.0,90
1755011658708,3791.67,0,0.000,0.0,91
1755011658741,3833.33,0,0.000,0.0,92
1755011658791,3875.00,0,0.000,0.0,93
1755011658824,3916.67,0,0.000,0.0,94
1755011658875,3958.33,0,0.000,0.0,95
1755011658908,4000.00,0,0.000,0.0,96
1755011658957,4041.67,0,0.000,0.0,97
1755011658992,4083.33,0,0.000,0.0,98
1755011659041,4125.00,0,0.000,0.0,99
1755011659075,4166.67,0,0.000,0.0,100
1755011659124,4208.33,0,0.000,0.0,101
1755011659157,4250.00,0,0.000,0.0,102
1755011659208,4291.67,0,0.000,0.0,103
1755011659241,4333.33,0,0.000,0.0,104
1755011659292,4375.00,0,0.000,0.0,105
1755011659325,4416.67,0,0.000,0.0,106
1755011659374,4458.33,0,0.000,0.0,107
1755011659408,4500.00,0,0.000,0.0,108
1755011659458,4541.67,0,0.000,0.0,109
1755011659491,4583.33,0,0.000,0.0,110
1755011659541,4625.00,0,0.000,0.0,111
1755011659575,4666.67,0,0.000,0.0,112
1755011659624,4708.33,0,0.000,0.0,113
1755011659658,4750.00,0,0.000,0.0,114
1755011659708,4791.67,0,0.000,0.0,115
1755011659741,4833.33,0,0.000,0.0,116
1755011659791,4875.00,0,0.000,0.0,117
1755011659824,4916.67,0,0.000,0.0,118
1755011659875,4958.33,0,0.000,0.0,119
1755011659907,5000.00,0,0.000,0.0,120
1755011659958,5041.67,0,0.000,0.0,121
1755011659991,5083.33,0,0.000,0.0,122
1755011660042,5125.00,0,0.000,0.0,123
1755011660075,5166.67,0,0.000,0.0,124
1755011660125,5208.33,0,0.000,0.0,125
1755011660158,5250.00,0,0.000,0.0,126
1755011660208,5291.67,0,0.000,0.0,127
1755011660241,5333.33,0,0.000,0.0,128
1755011660292,5375.00,0,0.000,0.0,129
1755011660325,5416.67,0,0.000,0.0,130
1755011660374,5458.33,0,0.000,0.0,131
1755011660407,5500.00,0,0.000,0.0,132
1755011660458,5541.67,0,0.000,0.0,133
1755011660491,5583.33,0,0.000,0.0,134
1755011660541,5625.00,0,0.000,0.0,135
1755011660575,5666.67,0,0.000,0.0,136
1755011660624,5708.33,0,0.000,0.0,137
1755011660657,5750.00,0,0.000,0.0,138
1755011660708,5791.67,0,0.000,0.0,139
1755011660742,5833.33,0,0.000,0.0,140
1755011660791,5875.00,0,0.000,0.0,141
1755011660825,5916.67,0,0.000,0.0,142
1755011660875,5958.33,0,0.000,0.0,143
1755011660908,6000.00,0,0.000,0.0,144
1755011660958,6041.67,0,0.000,0.0,145
1755011660991,6083.33,0,0.000,0.0,146
1755011661041,6125.00,0,0.000,0.0,147
1755011661074,6166.67,0,0.000,0.0,148
1755011661125,6208.33,0,0.000,0.0,149
1755011661158,6250.00,0,0.000,0.0,150
1755011661208,6291.67,0,0.000,0.0,151
1755011661241,6333.33,0,0.000,0.0,152
1755011661291,6375.00,0,0.000,0.0,153
1755011661324,6416.67,0,0.000,0.0,154
1755011661375,6458.33,0,0.000,0.0,155
1755011661408,6500.00,0,0.000,0.0,156
1755011661458,6541.67,0,0.000,0.0,157
1755011661492,6583.33,0,0.000,0.0,158
1755011661541,6625.00,0,0.000,0.0,159
1755011661575,6666.67,0,0.000,0.0,160
1755011661625,6708.33,0,0.000,0.0,161
1755011661657,6750.00,0,0.000,0.0,162
1755011661708,6791.67,0,0.000,0.0,163
1755011661741,6833.33,0,0.000,0.0,164
1755011661791,6875.00,0,0.000,0.0,165
1755011661830,6916.67,0,0.000,0.08800001,166
1755011661876,6958.33,0,1.000,0.902,167
1755011661903,7000.00,0,1.000,1.012,168
1755011661956,7041.67,0,1.000,1.012,169
1755011661987,7083.33,0,1.000,1.012,170
1755011662038,7125.00,0,1.000,1.012,171
1755011662072,7166.67,0,1.000,1.0339999,172
1755011662113,7208.33,0,1.000,1.309,173
1755011662153,7250.00,0,1.000,1.771,174
1755011662199,7291.67,0,1.000,1.9690001,175
1755011662256,7333.33,0,1.000,1.87,176
1755011662286,7375.00,0,1.000,1.771,177
1755011662329,7416.67,0,1.000,1.727,178
1755011662376,7458.33,0,1.000,1.683,179
1755011662409,7500.00,0,1.000,1.6719999,180
1755011662459,7541.67,0,1.000,1.6719999,181
1755011662492,7583.33,0,1.000,1.6719999,182
1755011662542,7625.00,0,1.000,1.6719999,183
1755011662576,7666.67,0,1.000,1.6719999,184
1755011662633,7708.33,0,1.000,1.639,185
1755011662660,7750.00,0,1.000,1.452,186
1755011662700,7791.67,0,1.000,1.265,187
1755011662751,7833.33,0,1.000,1.078,188
1755011662782,7875.00,0,1.000,1.012,189
1755011662833,7916.67,0,1.000,0.968,190
1755011662866,7958.33,0,1.000,0.95699996,191
1755011662916,8000.00,0,1.000,0.95699996,192
1755011662958,8041.67,0,1.000,0.935,193
1755011663011,8083.33,0,1.000,0.814,194
1755011663040,8125.00,0,1.000,0.726,195
1755011663072,8166.67,0,1.000,0.715,196
1755011663122,8208.33,0,1.000,0.715,197
1755011663155,8250.00,0,1.000,0.748,198
1755011663204,8291.67,0,1.000,0.88,199
1755011663241,8333.33,0,1.000,1.0009999,200
1755011663277,8375.00,0,1.000,1.023,201
1755011663326,8416.67,0,1.000,1.056,202
1755011663382,8458.33,0,1.000,1.155,203
1755011663417,8500.00,0,1.000,1.375,204
1755011663445,8541.67,0,1.000,1.617,205
1755011663497,8583.33,0,1.000,1.881,206
1755011663537,8625.00,0,1.000,2.024,207
1755011663575,8666.67,0,2.000,2.1890001,208
1755011663614,8708.33,0,2.000,2.266,209
1755011663664,8750.00,0,2.000,2.409,210
1755011663700,8791.67,0,2.000,2.53,211
1755011663738,8833.33,0,2.000,2.563,212
1755011663790,8875.00,0,2.000,2.563,213
1755011663822,8916.67,0,2.000,2.563,214
1755011663873,8958.33,0,2.000,2.563,215
1755011663906,9000.00,0,2.000,2.563,216
1755011663956,9041.67,0,2.000,2.563,217
1755011663990,9083.33,0,2.000,2.563,218
1755011664039,9125.00,0,2.000,2.53,219
1755011664073,9166.67,0,2.000,2.508,220
1755011664114,9208.33,0,2.000,2.475,221
1755011664162,9250.00,0,2.000,2.453,222
1755011664196,9291.67,0,2.000,2.442,223
1755011664254,9333.33,0,2.000,2.409,224
1755011664286,9375.00,0,2.000,2.398,225
1755011664319,9416.67,0,2.000,2.3869998,226
1755011664369,9458.33,0,2.000,2.3869998,227
1755011664403,9500.00,0,2.000,2.3869998,228
1755011664453,9541.67,0,2.000,2.354,229
1755011664487,9583.33,0,2.000,2.3209999,230
1755011664546,9625.00,0,2.000,2.266,231
1755011664578,9666.67,0,2.000,2.2549999,232
1755011664612,9708.33,0,2.000,2.2549999,233
1755011664661,9750.00,0,2.000,2.2549999,234
1755011664695,9791.67,0,2.000,2.2549999,235
1755011664745,9833.33,0,2.000,2.2549999,236
1755011664779,9875.00,0,2.000,2.2549999,237
1755011664828,9916.67,0,2.000,2.2549999,238
1755011664862,9958.33,0,2.000,2.2549999,239
1755011664911,10000.00,0,2.000,2.2549999,240
1755011664944,10041.67,0,2.000,2.211,241
1755011664996,10083.33,0,2.000,2.167,242
1755011665030,10125.00,0,2.000,2.167,243
1755011665078,10166.67,0,2.000,2.156,244
1755011665112,10208.33,0,2.000,2.156,245
1755011665169,10250.00,0,2.000,2.1230001,246
1755011665201,10291.67,0,2.000,2.09,247
1755011665250,10333.33,0,2.000,2.0679998,248
1755011665283,10375.00,0,1.000,2.0570002,249
1755011665324,10416.67,0,1.000,1.98,250
1755011665377,10458.33,0,1.000,1.8369999,251
1755011665407,10500.00,0,1.000,1.815,252
1755011665458,10541.67,0,1.000,1.804,253
1755011665497,10583.33,0,1.000,1.771,254
1755011665543,10625.00,0,1.000,1.727,255
1755011665577,10666.67,0,1.000,1.727,256
1755011665626,10708.33,0,1.000,1.727,257
1755011665660,10750.00,0,1.000,1.727,258
1755011665709,10791.67,0,1.000,1.727,259
1755011665743,10833.33,0,1.000,1.727,260
1755011665793,10875.00,0,1.000,1.727,261
1755011665827,10916.67,0,1.000,1.727,262
1755011665876,10958.33,0,1.000,1.727,263
1755011665910,11000.00,0,1.000,1.727,264
1755011665959,11041.67,0,1.000,1.727,265
1755011665993,11083.33,0,1.000,1.727,266
1755011666044,11125.00,0,1.000,1.727,267
1755011666077,11166.67,0,1.000,1.727,268
1755011666126,11208.33,0,1.000,1.727,269
1755011666160,11250.00,0,1.000,1.727,270
1755011666210,11291.67,0,1.000,1.727,271
1755011666244,11333.33,0,1.000,1.727,272
1755011666294,11375.00,0,1.000,1.727,273
1755011666326,11416.67,0,1.000,1.727,274
1755011666377,11458.33,0,1.000,1.727,275
1755011666409,11500.00,0,1.000,1.727,276
1755011666460,11541.67,0,1.000,1.727,277
1755011666493,11583.33,0,1.000,1.727,278
1755011666543,11625.00,0,1.000,1.727,279
1755011666577,11666.67,0,1.000,1.727,280
1755011666626,11708.33,0,1.000,1.727,281
1755011666660,11750.00,0,1.000,1.727,282
1755011666709,11791.67,0,1.000,1.727,283
1755011666743,11833.33,0,1.000,1.727,284
1755011666792,11875.00,0,1.000,1.727,285
1755011666826,11916.67,0,1.000,1.727,286
1755011666876,11958.33,0,1.000,1.727,287
1755011666910,12000.00,0,1.000,1.727,288
1755011666960,12041.67,0,1.000,1.727,289
1755011666993,12083.33,0,1.000,1.727,290
1755011667043,12125.00,0,1.000,1.727,291
1755011667076,12166.67,0,1.000,1.727,292
1755011667126,12208.33,0,1.000,1.727,293
1755011667160,12250.00,0,1.000,1.727,294
1755011667209,12291.67,0,1.000,1.727,295
1755011667243,12333.33,0,1.000,1.727,296
1755011667293,12375.00,0,1.000,1.727,297
1755011667326,12416.67,0,1.000,1.727,298
1755011667376,12458.33,0,1.000,1.727,299
1755011667410,12500.00,0,1.000,1.727,300
1755011667460,12541.67,0,1.000,1.727,301
1755011667494,12583.33,0,1.000,1.727,302
1755011667543,12625.00,0,1.000,1.727,303
1755011667577,12666.67,0,1.000,1.727,304
1755011667627,12708.33,0,1.000,1.727,305
1755011667659,12750.00,0,1.000,1.727,306
1755011667710,12791.67,0,1.000,1.727,307
1755011667743,12833.33,0,1.000,1.727,308
1755011667793,12875.00,0,1.000,1.727,309
1755011667827,12916.67,0,1.000,1.727,310
1755011667861,12958.33,0,1.000,1.727,311
1755011667910,13000.00,0,1.000,1.727,312
1755011667960,13041.67,0,1.000,1.727,313
1755011667994,13083.33,0,1.000,1.727,314
1755011668042,13125.00,0,1.000,1.727,315
1755011668077,13166.67,0,1.000,1.727,316
1755011668126,13208.33,0,1.000,1.727,317
1755011668160,13250.00,0,1.000,1.727,318
1755011668194,13291.67,0,1.000,1.727,319
1755011668243,13333.33,0,1.000,1.727,320
1755011668293,13375.00,0,1.000,1.727,321
1755011668327,13416.67,0,1.000,1.727,322
1755011668376,13458.33,0,1.000,1.727,323
1755011668410,13500.00,0,1.000,1.727,324
1755011668444,13541.67,0,1.000,1.727,325
1755011668493,13583.33,0,1.000,1.727,326
1755011668544,13625.00,0,1.000,1.727,327
1755011668576,13666.67,0,1.000,1.727,328
1755011668627,13708.33,0,1.000,1.727,329
1755011668659,13750.00,0,1.000,1.727,330
1755011668710,13791.67,0,1.000,1.727,331
1755011668744,13833.33,0,1.000,1.727,332
1755011668794,13875.00,0,1.000,1.727,333
1755011668826,13916.67,0,1.000,1.727,334
1755011668877,13958.33,0,1.000,1.727,335
1755011668910,14000.00,0,1.000,1.727,336
1755011668960,14041.67,0,1.000,1.727,337
1755011668993,14083.33,0,1.000,1.727,338
1755011669044,14125.00,0,1.000,1.727,339
1755011669076,14166.67,0,1.000,1.727,340
1755011669127,14208.33,0,1.000,1.727,341
1755011669159,14250.00,0,1.000,1.727,342
1755011669210,14291.67,0,1.000,1.727,343
1755011669243,14333.33,0,1.000,1.727,344
1755011669293,14375.00,0,1.000,1.727,345
1755011669327,14416.67,0,1.000,1.727,346
1755011669377,14458.33,0,1.000,1.727,347
1755011669410,14500.00,0,1.000,1.727,348
1755011669460,14541.67,0,1.000,1.727,349
1755011669494,14583.33,0,1.000,1.727,350
1755011669543,14625.00,0,1.000,1.727,351
1755011669577,14666.67,0,1.000,1.727,352
1755011669626,14708.33,0,1.000,1.727,353
1755011669660,14750.00,0,1.000,1.727,354
1755011669710,14791.67,0,1.000,1.727,355
1755011669744,14833.33,0,1.000,1.727,356
1755011669793,14875.00,0,1.000,1.727,357
1755011669827,14916.67,0,1.000,1.727,358
1755011669861,14958.33,0,1.000,1.727,359
1755011669910,15000.00,0,1.000,1.727,360
1755011669944,15041.67,0,1.000,1.727,361
1755011669994,15083.33,0,1.000,1.727,362
1755011670043,15125.00,0,1.000,1.727,363
1755011670077,15166.67,0,1.000,1.727,364
1755011670126,15208.33,0,1.000,1.727,365
1755011670160,15250.00,0,1.000,1.727,366
1755011670194,15291.67,0,1.000,1.727,367
1755011670243,15333.33,0,1.000,1.727,368
1755011670294,15375.00,0,1.000,1.727,369
1755011670326,15416.67,0,1.000,1.727,370
1755011670377,15458.33,0,1.000,1.727,371
1755011670409,15500.00,0,1.000,1.727,372
1755011670459,15541.67,0,1.000,1.727,373
1755011670493,15583.33,0,1.000,1.727,374
1755011670544,15625.00,0,1.000,1.727,375
1755011670576,15666.67,0,1.000,1.727,376
1755011670627,15708.33,0,1.000,1.727,377
1755011670659,15750.00,0,1.000,1.727,378
1755011670710,15791.67,0,1.000,1.727,379
1755011670744,15833.33,0,1.000,1.727,380
1755011670793,15875.00,0,1.000,1.727,381
1755011670827,15916.67,0,1.000,1.727,382
1755011670876,15958.33,0,1.000,1.727,383
1755011670910,16000.00,0,1.000,1.727,384
1755011670959,16041.67,0,1.000,1.727,385
1755011670993,16083.33,0,1.000,1.727,386
1755011671043,16125.00,0,1.000,1.727,387
1755011671077,16166.67,0,1.000,1.727,388
1755011671126,16208.33,0,1.000,1.727,389
1755011671160,16250.00,0,1.000,1.727,390
1755011671209,16291.67,0,1.000,1.727,391
1755011671243,16333.33,0,1.000,1.727,392
1755011671293,16375.00,0,1.000,1.727,393
1755011671327,16416.67,0,1.000,1.727,394
1755011671376,16458.33,0,1.000,1.727,395
1755011671410,16500.00,0,1.000,1.727,396
1755011671444,16541.67,0,1.000,1.727,397
1755011671493,16583.33,0,1.000,1.727,398
1755011671543,16625.00,0,1.000,1.727,399
1755011671575,16666.67,0,1.000,1.727,400
1755011671627,16708.33,0,1.000,1.727,401
1755011671660,16750.00,0,1.000,1.727,402
1755011671694,16791.67,0,1.000,1.727,403
1755011671743,16833.33,0,1.000,1.727,404
1755011671793,16875.00,0,1.000,1.727,405
1755011671826,16916.67,0,1.000,1.727,406
1755011671877,16958.33,0,1.000,1.727,407
1755011671910,17000.00,0,1.000,1.727,408
1755011671959,17041.67,0,1.000,1.727,409
1755011671994,17083.33,0,1.000,1.727,410
1755011672043,17125.00,0,1.000,1.727,411
1755011672076,17166.67,0,1.000,1.727,412
1755011672127,17208.33,0,1.000,1.727,413
1755011672160,17250.00,0,1.000,1.727,414
1755011672194,17291.67,0,1.000,1.727,415
1755011672243,17333.33,0,1.000,1.727,416
1755011672294,17375.00,0,1.000,1.727,417
1755011672326,17416.67,0,1.000,1.727,418
1755011672377,17458.33,0,1.000,1.727,419
1755011672410,17500.00,0,1.000,1.727,420
1755011672460,17541.67,0,1.000,1.727,421
1755011672493,17583.33,0,1.000,1.727,422
1755011672543,17625.00,0,1.000,1.727,423
1755011672577,17666.67,0,1.000,1.727,424
1755011672626,17708.33,0,1.000,1.727,425
1755011672660,17750.00,0,1.000,1.727,426
1755011672694,17791.67,0,1.000,1.727,427
1755011672743,17833.33,0,1.000,1.727,428
1755011672778,17875.00,0,1.000,1.727,429
1755011672826,17916.67,0,1.000,1.727,430
1755011672877,17958.33,0,1.000,1.727,431
1755011672910,18000.00,0,1.000,1.727,432
1755011672944,18041.67,0,1.000,1.727,433
1755011672993,18083.33,0,1.000,1.727,434
1755011673043,18125.00,0,1.000,1.727,435
1755011673076,18166.67,0,1.000,1.727,436
1755011673127,18208.33,0,1.000,1.727,437
1755011673160,18250.00,0,1.000,1.727,438
1755011673210,18291.67,0,1.000,1.727,439
1755011673243,18333.33,0,1.000,1.727,440
1755011673293,18375.00,0,1.000,1.727,441
1755011673326,18416.67,0,1.000,1.727,442
1755011673377,18458.33,0,1.000,1.727,443
1755011673411,18500.00,0,1.000,1.727,444
1755011673460,18541.67,0,1.000,1.727,445
1755011673494,18583.33,0,1.000,1.727,446
1755011673543,18625.00,0,1.000,1.727,447
1755011673577,18666.67,0,1.000,1.727,448
1755011673626,18708.33,0,1.000,1.727,449
