MillisSinceEpoch,TempoVideo,AnimacaoAtual,ValorMapeado,Valor,FrameNumber
1755730706430,41.67,0,0.000,0.0,1
1755730706506,83.33,0,3.000,4.433,2
1755730706523,125.00,0,3.000,4.433,3
1755730706536,166.67,0,3.000,4.433,4
1755730706554,208.33,0,3.000,4.433,5
1755730706571,250.00,0,3.000,4.433,6
1755730706586,291.67,0,3.000,4.433,7
1755730706605,333.33,0,3.000,4.433,8
1755730706619,375.00,0,3.000,4.433,9
1755730706637,416.67,0,3.000,4.433,10
1755730706653,458.33,0,3.000,4.433,11
1755730706670,500.00,0,3.000,4.433,12
1755730706687,541.67,0,3.000,4.433,13
1755730706703,583.33,0,3.000,4.433,14
1755730706721,625.00,0,3.000,4.433,15
1755730706736,666.67,0,3.000,4.433,16
1755730706752,708.33,0,3.000,4.433,17
1755730706770,750.00,0,3.000,4.433,18
1755730706786,791.67,0,3.000,4.433,19
1755730706803,833.33,0,3.000,4.433,20
1755730706819,875.00,0,3.000,4.433,21
1755730706836,916.67,0,3.000,4.433,22
1755730706854,958.33,0,3.000,4.433,23
1755730706869,1000.00,0,3.000,4.433,24
1755730706886,1041.67,0,3.000,4.433,25
1755730706902,1083.33,0,3.000,4.433,26
1755730706920,1125.00,0,3.000,4.433,27
1755730706935,1166.67,0,3.000,4.433,28
1755730706953,1208.33,0,3.000,4.433,29
1755730706969,1250.00,0,3.000,4.433,30
1755730706987,1291.67,0,3.000,4.433,31
1755730707002,1333.33,0,3.000,4.433,32
1755730707019,1375.00,0,3.000,4.433,33
1755730707037,1416.67,0,3.000,4.433,34
1755730707056,1458.33,0,3.000,4.433,35
1755730707070,1500.00,0,3.000,4.433,36
1755730707087,1541.67,0,3.000,4.433,37
1755730707103,1583.33,0,3.000,4.433,38
1755730707119,1625.00,0,3.000,4.433,39
1755730707137,1666.67,0,3.000,4.433,40
1755730707152,1708.33,0,3.000,4.433,41
1755730707170,1750.00,0,3.000,4.433,42
1755730707186,1791.67,0,3.000,4.433,43
1755730707203,1833.33,0,3.000,4.433,44
1755730707220,1875.00,0,3.000,4.433,45
1755730707236,1916.67,0,3.000,4.433,46
1755730707253,1958.33,0,3.000,4.433,47
1755730707269,2000.00,0,3.000,4.433,48
1755730707287,2041.67,0,3.000,4.433,49
1755730707303,2083.33,0,3.000,4.433,50
